instrument_name,option_type,strike,expiry_ts_ms,expiry_dt,tte_years,underlying_price,mark_iv,mark_price_btc,bid_price_btc,ask_price_btc,mid_price_btc,open_interest,volume_usd_24h,snapshot_ts
BTC-17MAR26-63000-C,call,63000.0,1773734400000,2026-03-17T08:00:00Z,0.00130604,74028.80069314831,108.95,0.14898353,0.1465,0.161,0.15375,0.0,0.0,2026-03-16T20:33:04Z
BTC-17MAR26-63000-P,put,63000.0,1773734400000,2026-03-17T08:00:00Z,0.00130604,74028.78142348092,108.95,1.7e-07,,0.0001,,13.8,8.15,2026-03-16T20:33:04Z
BTC-17MAR26-64000-C,call,64000.0,1773734400000,2026-03-17T08:00:00Z,0.00130604,74028.80069314831,99.91,0.13547537,0.1325,0.148,0.14025,0.0,0.0,2026-03-16T20:33:04Z
BTC-17MAR26-64000-P,put,64000.0,1773734400000,2026-03-17T08:00:00Z,0.00130604,74028.78142348092,99.91,2.1e-07,,0.0001,,27.5,320.6,2026-03-16T20:33:04Z
BTC-17MAR26-65000-C,call,65000.0,1773734400000,2026-03-17T08:00:00Z,0.00130604,74028.80069314831,92.73,0.12196734,0.1185,0.1355,0.127,0.0,0.0,2026-03-16T20:33:04Z
BTC-17MAR26-65000-P,put,65000.0,1773734400000,2026-03-17T08:00:00Z,0.00130604,74028.78142348092,92.73,3.8e-07,,0.0001,,59.5,234.89,2026-03-16T20:33:04Z
BTC-17MAR26-66000-C,call,66000.0,1773734400000,2026-03-17T08:00:00Z,0.00130604,74029.10450246598,91.39,0.10846077,0.0975,0.117,0.10725,0.0,0.0,2026-03-16T20:33:04Z
BTC-17MAR26-66000-P,put,66000.0,1773734400000,2026-03-17T08:00:00Z,0.00130604,74028.78142348092,91.39,2.02e-06,,0.0001,,81.1,1635.87,2026-03-16T20:33:04Z
BTC-17MAR26-67000-C,call,67000.0,1773734400000,2026-03-17T08:00:00Z,0.00130604,74028.57414279453,87.78,0.09495744,0.0865,0.109,0.09775,0.0,0.0,2026-03-16T20:33:04Z
BTC-17MAR26-67000-P,put,67000.0,1773734400000,2026-03-17T08:00:00Z,0.00130604,74028.78142348092,87.78,6.88e-06,,0.0001,,86.4,806.58,2026-03-16T20:33:04Z
BTC-17MAR26-68000-C,call,68000.0,1773734400000,2026-03-17T08:00:00Z,0.00130604,74028.57414279453,85.75,0.08146995,0.072,0.0965,0.08425,0.0,0.0,2026-03-16T20:33:04Z
BTC-17MAR26-68000-P,put,68000.0,1773734400000,2026-03-17T08:00:00Z,0.00130604,74028.78142348092,85.75,2.759e-05,,0.0001,,360.6,1204.78,2026-03-16T20:33:04Z
BTC-17MAR26-68500-C,call,68500.0,1773734400000,2026-03-17T08:00:00Z,0.00130604,74029.10450246598,85.75,0.07474727,0.071,0.09,0.0805,0.0,0.0,2026-03-16T20:33:04Z
BTC-17MAR26-68500-P,put,68500.0,1773734400000,2026-03-17T08:00:00Z,0.00130604,74028.78142348092,85.75,5.902e-05,,0.0001,,9.6,46.13,2026-03-16T20:33:04Z
BTC-17MAR26-69000-C,call,69000.0,1773734400000,2026-03-17T08:00:00Z,0.00130604,74028.57414279453,81.29,0.06801281,0.059,0.0835,0.07125,2.3,10524.19,2026-03-16T20:33:04Z
BTC-17MAR26-69000-P,put,69000.0,1773734400000,2026-03-17T08:00:00Z,0.00130604,74028.78142348092,81.29,7.866e-05,,0.0002,,67.2,3844.81,2026-03-16T20:33:04Z
BTC-17MAR26-69500-C,call,69500.0,1773734400000,2026-03-17T08:00:00Z,0.00130604,74028.80069314831,79.01,0.06131152,0.058,0.0645,0.06125,1.4,4957.72,2026-03-16T20:33:04Z
BTC-17MAR26-69500-P,put,69500.0,1773734400000,2026-03-17T08:00:00Z,0.00130604,74028.78142348092,79.01,0.00013147,0.0001,0.0002,0.00015,67.6,4312.91,2026-03-16T20:33:04Z
BTC-17MAR26-70000-C,call,70000.0,1773734400000,2026-03-17T08:00:00Z,0.00130604,74029.10450246598,71.16,0.05455703,0.051,0.0705,0.06075,4.0,0.0,2026-03-16T20:33:04Z
BTC-17MAR26-70000-P,put,70000.0,1773734400000,2026-03-17T08:00:00Z,0.00130604,74028.78142348092,71.16,0.00013108,0.0001,0.0002,0.00015,440.2,10123.59,2026-03-16T20:33:04Z
BTC-17MAR26-70500-C,call,70500.0,1773734400000,2026-03-17T08:00:00Z,0.00130604,74028.80069314831,63.94,0.04781255,0.0445,0.05,0.04725,16.2,624.44,2026-03-16T20:33:04Z
BTC-17MAR26-70500-P,put,70500.0,1773734400000,2026-03-17T08:00:00Z,0.00130604,74028.78142348092,63.94,0.0001407,0.0001,0.0003,0.0002,109.2,12489.1,2026-03-16T20:33:04Z
BTC-17MAR26-71000-C,call,71000.0,1773734400000,2026-03-17T08:00:00Z,0.00130604,74028.80069314831,57.72,0.04109029,0.039,0.043,0.041,53.7,46752.9,2026-03-16T20:33:04Z
BTC-17MAR26-71000-P,put,71000.0,1773734400000,2026-03-17T08:00:00Z,0.00130604,74028.78142348092,57.72,0.00017254,0.0001,0.0003,0.0002,189.4,30932.71,2026-03-16T20:33:04Z
BTC-17MAR26-71500-C,call,71500.0,1773734400000,2026-03-17T08:00:00Z,0.00130604,74028.80069314831,54.28,0.03445947,0.0315,0.0365,0.034,16.7,4020.43,2026-03-16T20:33:04Z
BTC-17MAR26-71500-P,put,71500.0,1773734400000,2026-03-17T08:00:00Z,0.00130604,74028.78142348092,54.28,0.00029582,0.0002,0.0004,0.0003,134.1,20253.15,2026-03-16T20:33:04Z
