instrument_name,option_type,strike,expiry_ts_ms,expiry_dt,tte_years,underlying_price,mark_iv,mark_price_btc,bid_price_btc,ask_price_btc,mid_price_btc,open_interest,volume_usd_24h,snapshot_ts,snapshot_ts_ms,snapshot_source,last_trade_ts_ms,last_trade_ts,last_trade_price_btc,trade_direction,trade_amount_btc,trades_in_lookback,contracts_traded_lookback,trade_amount_btc_lookback,creation_ts_ms,instrument_state
BTC-12MAR26-59000-C,call,59000.0,1773302400000,2026-03-12T08:00:00Z,0.00638832,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1773007440000,delivered
BTC-12MAR26-59000-P,put,59000.0,1773302400000,2026-03-12T08:00:00Z,0.00638832,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1773007440000,delivered
BTC-12MAR26-60000-C,call,60000.0,1773302400000,2026-03-12T08:00:00Z,0.00638832,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-60000-P,put,60000.0,1773302400000,2026-03-12T08:00:00Z,0.00638832,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-61000-C,call,61000.0,1773302400000,2026-03-12T08:00:00Z,0.00638832,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-61000-P,put,61000.0,1773302400000,2026-03-12T08:00:00Z,0.00638832,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-62000-C,call,62000.0,1773302400000,2026-03-12T08:00:00Z,0.00638832,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-62000-P,put,62000.0,1773302400000,2026-03-12T08:00:00Z,0.00638832,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-63000-C,call,63000.0,1773302400000,2026-03-12T08:00:00Z,0.00638832,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-63000-P,put,63000.0,1773302400000,2026-03-12T08:00:00Z,0.00638832,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-64000-C,call,64000.0,1773302400000,2026-03-12T08:00:00Z,0.00638832,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-64000-P,put,64000.0,1773302400000,2026-03-12T08:00:00Z,0.00638832,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-64500-C,call,64500.0,1773302400000,2026-03-12T08:00:00Z,0.00638832,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1773018660000,delivered
BTC-12MAR26-64500-P,put,64500.0,1773302400000,2026-03-12T08:00:00Z,0.00638832,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1773018660000,delivered
BTC-12MAR26-65000-C,call,65000.0,1773302400000,2026-03-12T08:00:00Z,0.00638832,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-65000-P,put,65000.0,1773302400000,2026-03-12T08:00:00Z,0.00638832,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-65500-C,call,65500.0,1773302400000,2026-03-12T08:00:00Z,0.00638832,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-65500-P,put,65500.0,1773302400000,2026-03-12T08:00:00Z,0.00638832,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-66000-C,call,66000.0,1773302400000,2026-03-12T08:00:00Z,0.00638832,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
BTC-12MAR26-66000-P,put,66000.0,1773302400000,2026-03-12T08:00:00Z,0.00638832,,,,,,,0.0,0.0,2026-03-10T00:00:00Z,1773100800000,metadata_only,,,,,,0,0.0,0.0,1772956812000,delivered
