instrument_name,option_type,strike,expiry_ts_ms,expiry_dt,tte_years,underlying_price,mark_iv,mark_price_btc,bid_price_btc,ask_price_btc,mid_price_btc,open_interest,volume_usd_24h,snapshot_ts,snapshot_ts_ms,last_trade_ts_ms,last_trade_ts,last_trade_price_btc,trade_direction,contracts_traded_lookback,trade_amount_btc_lookback,trades_in_lookback
BTC-6MAR26-50000-P,put,50000.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,73649.62,214.89,4.81e-06,,,,0.0,0.0,2026-03-05T23:59:59Z,1772755199999,1772649997429,2026-03-04T18:46:37Z,0.0001,buy,0.0,0.0,0
BTC-6MAR26-55000-C,call,55000.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,69572.05,162.65,0.20920669,,,,0.0,0.0,2026-03-05T23:59:59Z,1772755199999,1772611118406,2026-03-04T07:58:38Z,0.2105,buy,0.0,0.0,0
BTC-6MAR26-55000-P,put,55000.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,72722.49,168.9,5.72e-05,,,,0.0,0.0,2026-03-05T23:59:59Z,1772755199999,1772664820091,2026-03-04T22:53:40Z,0.0001,buy,0.0,0.0,0
BTC-6MAR26-58000-C,call,58000.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,69572.05,133.71,0.16615786,,,,0.0,0.0,2026-03-05T23:59:59Z,1772755199999,1772611118519,2026-03-04T07:58:38Z,0.1675,buy,0.0,0.0,0
BTC-6MAR26-58000-P,put,58000.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,71662.0,184.19,7.15e-06,,,,33.3,2413050.0579999997,2026-03-05T23:59:59Z,1772755199999,1772723516275,2026-03-05T15:11:56Z,0.0001,buy,33.3,33.3,5
BTC-6MAR26-60000-C,call,60000.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,68901.14,87.25,0.13105613,,,,0.0,0.0,2026-03-05T23:59:59Z,1772755199999,1772473560514,2026-03-02T17:46:00Z,0.131,sell,0.0,0.0,0
BTC-6MAR26-60000-P,put,60000.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,71372.21,155.77,2.287e-05,,,,77.3,5600148.984,2026-03-05T23:59:59Z,1772755199999,1772724853297,2026-03-05T15:34:13Z,0.0001,buy,77.3,77.3,51
BTC-6MAR26-61000-C,call,61000.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,69198.32,83.47,0.12059569,,,,0.0,0.0,2026-03-05T23:59:59Z,1772755199999,1772473082392,2026-03-02T17:38:02Z,0.1205,sell,0.0,0.0,0
BTC-6MAR26-61000-P,put,61000.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,71781.47,145.34,4.797e-05,,,,10.8,779373.022,2026-03-05T23:59:59Z,1772755199999,1772723508527,2026-03-05T15:11:48Z,0.0001,buy,10.8,10.8,22
BTC-6MAR26-62000-C,call,62000.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,71708.64,0.0,0.13655984,,,,0.2,14341.728000000001,2026-03-05T23:59:59Z,1772755199999,1772723490208,2026-03-05T15:11:30Z,0.1355,sell,0.2,0.2,1
BTC-6MAR26-62000-P,put,62000.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,71698.27,131.31,5.989e-05,,,,32.1,2315779.952,2026-03-05T23:59:59Z,1772755199999,1772723495525,2026-03-05T15:11:35Z,0.0001,sell,32.1,32.1,18
BTC-6MAR26-63000-C,call,63000.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,71825.22,0.0,0.12275825,,,,9.4,687539.088,2026-03-05T23:59:59Z,1772755199999,1772723487756,2026-03-05T15:11:27Z,0.122,sell,9.4,9.4,2
BTC-6MAR26-63000-P,put,63000.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,70706.51,117.02,9.482e-05,,,,109.7,7957577.012,2026-03-05T23:59:59Z,1772755199999,1772733536666,2026-03-05T17:58:56Z,0.0001,sell,109.7,109.7,21
BTC-6MAR26-64000-C,call,64000.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,71663.52,145.18,0.10687445,,,,1.1,80686.14199999999,2026-03-05T23:59:59Z,1772755199999,1772726016206,2026-03-05T15:53:36Z,0.1075,buy,1.1,1.1,2
BTC-6MAR26-64000-P,put,64000.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,70990.46,99.91,0.00020133,,,,53.6,3874646.56,2026-03-05T23:59:59Z,1772755199999,1772726941073,2026-03-05T16:09:01Z,0.0001,buy,53.6,53.6,30
BTC-6MAR26-64500-C,call,64500.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,70882.35,99.16,0.09150278,,,,0.0,0.0,2026-03-05T23:59:59Z,1772755199999,1772614653345,2026-03-04T08:57:33Z,0.093,buy,0.0,0.0,0
BTC-6MAR26-64500-P,put,64500.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,71335.73,99.06,0.0001275,,,,32.8,2356319.801,2026-03-05T23:59:59Z,1772755199999,1772728707018,2026-03-05T16:38:27Z,0.0001,sell,32.8,32.8,27
BTC-6MAR26-65000-C,call,65000.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,71025.44,131.23,0.08473723,,,,0.4,28468.859,2026-03-05T23:59:59Z,1772755199999,1772727209390,2026-03-05T16:13:29Z,0.086,sell,0.4,0.4,2
BTC-6MAR26-65000-P,put,65000.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,71375.9,112.44,4.075e-05,,,,174.3,12596413.801,2026-03-05T23:59:59Z,1772755199999,1772746508045,2026-03-05T21:35:08Z,0.0001,buy,174.3,174.3,96
BTC-6MAR26-65500-C,call,65500.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,70898.74,83.53,0.07843544,,,,0.0,0.0,2026-03-05T23:59:59Z,1772755199999,1772626607959,2026-03-04T12:16:47Z,0.0785,sell,0.0,0.0,0
BTC-6MAR26-65500-P,put,65500.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,71260.91,99.8,8.365e-05,,,,39.400000000000006,2862233.039,2026-03-05T23:59:59Z,1772755199999,1772744409985,2026-03-05T21:00:09Z,0.0001,sell,39.400000000000006,39.400000000000006,20
BTC-6MAR26-66000-C,call,66000.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,71825.22,0.0,0.08110984,,,,0.1,7182.522000000001,2026-03-05T23:59:59Z,1772755199999,1772723487960,2026-03-05T15:11:27Z,0.08,sell,0.1,0.1,1
BTC-6MAR26-66000-P,put,66000.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,70867.53,100.07,0.00014513,,,,108.4,7810445.5540000005,2026-03-05T23:59:59Z,1772755199999,1772754772324,2026-03-05T23:52:52Z,0.0001,sell,108.4,108.4,49
BTC-6MAR26-66500-C,call,66500.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,72009.97,78.99,0.07839972,,,,0.0,0.0,2026-03-05T23:59:59Z,1772755199999,1772636562002,2026-03-04T15:02:42Z,0.078,sell,0.0,0.0,0
BTC-6MAR26-66500-P,put,66500.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,71189.63,80.15,0.00013966,,,,57.5,4157134.262,2026-03-05T23:59:59Z,1772755199999,1772741730701,2026-03-05T20:15:30Z,0.0001,sell,57.5,57.5,44
BTC-6MAR26-67000-C,call,67000.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,70973.87,70.99,0.05631029,,,,3.8,274316.579,2026-03-05T23:59:59Z,1772755199999,1772735784496,2026-03-05T18:36:24Z,0.056,sell,3.8,3.8,16
BTC-6MAR26-67000-P,put,67000.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,71288.87,83.84,0.00016205,,,,15.1,1087354.678,2026-03-05T23:59:59Z,1772755199999,1772744343549,2026-03-05T20:59:03Z,0.0002,sell,15.1,15.1,43
BTC-6MAR26-67500-C,call,67500.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,72044.16,71.49,0.06535635,,,,0.0,0.0,2026-03-05T23:59:59Z,1772755199999,1772635123275,2026-03-04T14:38:43Z,0.065,sell,0.0,0.0,0
BTC-6MAR26-67500-P,put,67500.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,71225.48,76.31,0.00014065,,,,34.3,2464241.809,2026-03-05T23:59:59Z,1772755199999,1772753402599,2026-03-05T23:30:02Z,0.0001,sell,34.3,34.3,55
BTC-6MAR26-68000-C,call,68000.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,71114.68,83.18,0.04352806,,,,67.4,4847088.917,2026-03-05T23:59:59Z,1772755199999,1772748889462,2026-03-05T22:14:49Z,0.044,buy,67.4,67.4,22
BTC-6MAR26-68000-P,put,68000.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,71214.88,77.45,0.00018697,,,,66.4,4747528.517,2026-03-05T23:59:59Z,1772755199999,1772751952792,2026-03-05T23:05:52Z,0.0003,buy,66.4,66.4,81
BTC-6MAR26-68500-C,call,68500.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,71442.79,77.56,0.04178749,,,,0.3,21432.836999999996,2026-03-05T23:59:59Z,1772755199999,1772730191705,2026-03-05T17:03:11Z,0.0425,buy,0.3,0.3,1
BTC-6MAR26-68500-P,put,68500.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,70854.51,64.05,0.0012096,,,,24.9,1803971.422,2026-03-05T23:59:59Z,1772755199999,1772733880230,2026-03-05T18:04:40Z,0.0011,sell,24.9,24.9,23
BTC-6MAR26-69000-C,call,69000.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,70891.4,64.21,0.026762,,,,27.1,1935494.952,2026-03-05T23:59:59Z,1772755199999,1772754117675,2026-03-05T23:41:57Z,0.027,sell,27.1,27.1,15
BTC-6MAR26-69000-P,put,69000.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,71094.82,61.42,0.00045088,,,,129.7,9344505.981,2026-03-05T23:59:59Z,1772755199999,1772753523283,2026-03-05T23:32:03Z,0.0005,buy,129.7,129.7,96
BTC-6MAR26-69500-C,call,69500.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,73368.01,67.77,0.05443575,,,,0.0,0.0,2026-03-05T23:59:59Z,1772755199999,1772639884976,2026-03-04T15:58:04Z,0.055,buy,0.0,0.0,0
BTC-6MAR26-69500-P,put,69500.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,70936.93,54.91,0.0009353,,,,64.2,4642689.873,2026-03-05T23:59:59Z,1772755199999,1772753684830,2026-03-05T23:34:44Z,0.001,sell,64.2,64.2,71
BTC-6MAR26-70000-C,call,70000.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,71131.55,50.18,0.01780061,,,,72.3,5204555.5430000005,2026-03-05T23:59:59Z,1772755199999,1772743487539,2026-03-05T20:44:47Z,0.0175,buy,72.3,72.3,23
BTC-6MAR26-70000-P,put,70000.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,70930.5,51.82,0.0017626,,,,466.9,33547073.055999998,2026-03-05T23:59:59Z,1772755199999,1772754060890,2026-03-05T23:41:00Z,0.0019,buy,466.9,466.9,256
BTC-6MAR26-70500-C,call,70500.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,71282.83,49.47,0.01274589,,,,4.7,334514.798,2026-03-05T23:59:59Z,1772755199999,1772750701342,2026-03-05T22:45:01Z,0.013,sell,4.7,4.7,18
BTC-6MAR26-70500-P,put,70500.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,71208.49,49.25,0.00229716,,,,176.4,12696177.781,2026-03-05T23:59:59Z,1772755199999,1772752992126,2026-03-05T23:23:12Z,0.0025,sell,176.4,176.4,99
BTC-6MAR26-71000-C,call,71000.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,70924.74,46.48,0.00505431,,,,168.5,12090798.444,2026-03-05T23:59:59Z,1772755199999,1772753686655,2026-03-05T23:34:46Z,0.005,sell,168.5,168.5,152
BTC-6MAR26-71000-P,put,71000.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,70964.8,44.71,0.00622854,,,,227.1,16237426.786,2026-03-05T23:59:59Z,1772755199999,1772753760485,2026-03-05T23:36:00Z,0.006,sell,227.1,227.1,158
BTC-6MAR26-71500-C,call,71500.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,71206.57,48.82,0.00387567,,,,20.6,1473899.564,2026-03-05T23:59:59Z,1772755199999,1772752073866,2026-03-05T23:07:53Z,0.0042,buy,20.6,20.6,47
BTC-6MAR26-71500-P,put,71500.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,71228.82,48.58,0.00899424,,,,64.9,4665026.734,2026-03-05T23:59:59Z,1772755199999,1772746713708,2026-03-05T21:38:33Z,0.009,buy,64.9,64.9,98
BTC-6MAR26-72000-C,call,72000.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,70818.86,48.27,0.00088214,,,,431.2,30948914.09,2026-03-05T23:59:59Z,1772755199999,1772755015517,2026-03-05T23:56:55Z,0.0009,sell,431.2,431.2,221
BTC-6MAR26-72000-P,put,72000.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,70891.11,44.97,0.01714073,,,,56.4,4093386.315,2026-03-05T23:59:59Z,1772755199999,1772754118873,2026-03-05T23:41:58Z,0.017,buy,56.4,56.4,71
BTC-6MAR26-72500-C,call,72500.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,70960.38,50.95,0.0004397,,,,52.2,3744566.492,2026-03-05T23:59:59Z,1772755199999,1772753745813,2026-03-05T23:35:45Z,0.0006,buy,52.2,52.2,106
BTC-6MAR26-72500-P,put,72500.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,70851.32,48.13,0.02501483,,,,81.10000000000001,5876093.852,2026-03-05T23:59:59Z,1772755199999,1772734039244,2026-03-05T18:07:19Z,0.0245,sell,81.10000000000001,81.10000000000001,103
BTC-6MAR26-73000-C,call,73000.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,70984.78,49.86,0.00020917,,,,1016.5,72337915.091,2026-03-05T23:59:59Z,1772755199999,1772753860452,2026-03-05T23:37:40Z,0.0002,buy,1016.5,1016.5,169
BTC-6MAR26-73000-P,put,73000.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,71321.83,56.25,0.02462177,,,,29.599999999999998,2150124.1149999998,2026-03-05T23:59:59Z,1772755199999,1772747498310,2026-03-05T21:51:38Z,0.025,buy,29.599999999999998,29.599999999999998,46
BTC-6MAR26-73500-C,call,73500.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,71226.34,54.33,0.00017368,,,,419.0,30407690.737,2026-03-05T23:59:59Z,1772755199999,1772753403855,2026-03-05T23:30:03Z,0.0002,buy,419.0,419.0,142
BTC-6MAR26-73500-P,put,73500.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,71077.72,61.41,0.03551531,,,,6.7,489467.843,2026-03-05T23:59:59Z,1772755199999,1772727795147,2026-03-05T16:23:15Z,0.0355,buy,6.7,6.7,13
BTC-6MAR26-74000-C,call,74000.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,70906.32,64.44,5.831e-05,,,,333.9,24319824.705000002,2026-03-05T23:59:59Z,1772755199999,1772754717597,2026-03-05T23:51:57Z,0.0001,buy,333.9,333.9,135
BTC-6MAR26-74000-P,put,74000.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,71512.66,57.22,0.03547339,,,,3.0,213719.12,2026-03-05T23:59:59Z,1772755199999,1772746129067,2026-03-05T21:28:49Z,0.0355,sell,3.0,3.0,2
BTC-6MAR26-74500-C,call,74500.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,71524.64,54.74,0.00018807,,,,72.3,5237275.686,2026-03-05T23:59:59Z,1772755199999,1772746314841,2026-03-05T21:31:54Z,0.0001,sell,72.3,72.3,51
BTC-6MAR26-75000-C,call,75000.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,70790.72,84.08,1.208e-05,,,,241.4,17584299.461,2026-03-05T23:59:59Z,1772755199999,1772755082656,2026-03-05T23:58:02Z,0.0001,buy,241.4,241.4,135
BTC-6MAR26-75000-P,put,75000.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,72421.43,50.07,0.03794522,,,,0.1,7242.143,2026-03-05T23:59:59Z,1772755199999,1772681809632,2026-03-05T03:36:49Z,0.0375,sell,0.1,0.1,1
BTC-6MAR26-75500-C,call,75500.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,70972.89,87.12,1.58e-05,,,,37.9,2700003.151,2026-03-05T23:59:59Z,1772755199999,1772753661241,2026-03-05T23:34:21Z,0.0001,buy,37.9,37.9,21
BTC-6MAR26-75500-P,put,75500.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,71221.48,98.74,0.06069228,,,,3.1,225092.538,2026-03-05T23:59:59Z,1772755199999,1772726769009,2026-03-05T16:06:09Z,0.062,buy,3.1,3.1,13
BTC-6MAR26-76000-C,call,76000.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,70828.19,75.2,0.00013994,,,,53.800000000000004,3885548.051,2026-03-05T23:59:59Z,1772755199999,1772733400282,2026-03-05T17:56:40Z,0.0001,sell,53.800000000000004,53.800000000000004,73
BTC-6MAR26-76000-P,put,76000.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,71197.59,0.0,0.06811548,,,,0.4,28556.010000000002,2026-03-05T23:59:59Z,1772755199999,1772737361601,2026-03-05T19:02:41Z,0.067,sell,0.4,0.4,2
BTC-6MAR26-77000-C,call,77000.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,70835.56,86.08,9.181e-05,,,,56.6,4117532.415,2026-03-05T23:59:59Z,1772755199999,1772732097338,2026-03-05T17:34:57Z,0.0001,sell,56.6,56.6,47
BTC-6MAR26-78000-C,call,78000.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,71355.9,89.26,0.00011456,,,,182.0,13208551.836,2026-03-05T23:59:59Z,1772755199999,1772730093049,2026-03-05T17:01:33Z,0.0001,sell,182.0,182.0,52
BTC-6MAR26-78000-P,put,78000.0,1772755200000,2026-03-06T00:00:00Z,3.168808781402895e-11,71221.48,136.01,0.09558619,,,,7.4,527038.952,2026-03-05T23:59:59Z,1772755199999,1772726769121,2026-03-05T16:06:09Z,0.097,buy,7.4,7.4,1
