instrument,event_ticker,entry_time_utc,expiry_time_utc,side,quantity,entry_price,model_price,edge_at_entry,spot_at_entry,strike,bar_volume,required_risk,settlement_outcome,pnl_per_contract,total_pnl,sizing_mode,params_path
GEMI-BTC2602272200-HI66000,BTC2602272200,2026-02-25 00:00:00,2026-02-27 22:00:00,sell,14,0.3,0.245182,0.054818,63975.5,66000.0,116.0,9.8,0,0.3,4.2,flat,/Users/seanmealey/Documents/gtc/gtc-2/data/deribit/params_history/bates_params_20260224_235959.json
GEMI-BTC2602250100-HI64000,BTC2602250100,2026-02-25 00:05:00,2026-02-25 01:00:00,sell,25,0.6,0.473342,0.126658,63975.5,64000.0,73.0,10.0,1,-0.4,-10.0,flat,/Users/seanmealey/Documents/gtc/gtc-2/data/deribit/params_history/bates_params_20260224_235959.json
GEMI-BTC2602252200-HI64000,BTC2602252200,2026-02-25 00:10:00,2026-02-25 22:00:00,sell,22,0.56,0.499421,0.060579,63975.5,64000.0,215.0,9.68,1,-0.44,-9.68,flat,/Users/seanmealey/Documents/gtc/gtc-2/data/deribit/params_history/bates_params_20260224_235959.json
GEMI-BTC2602250100-HI63750,BTC2602250100,2026-02-25 00:25:00,2026-02-25 01:00:00,sell,199,0.95,0.716931,0.233069,63975.5,63750.0,31.0,9.95,1,-0.05,-9.95,flat,/Users/seanmealey/Documents/gtc/gtc-2/data/deribit/params_history/bates_params_20260224_235959.json
GEMI-BTC2602252200-HI63000,BTC2602252200,2026-02-25 00:35:00,2026-02-25 22:00:00,buy,13,0.74,0.779689,0.039689,64230.17,63000.0,32.0,9.62,1,0.26,3.38,flat,/Users/seanmealey/Documents/gtc/gtc-2/data/deribit/params_history/bates_params_20260224_235959.json
GEMI-BTC2602252200-HI65000,BTC2602252200,2026-02-25 01:00:00,2026-02-25 22:00:00,buy,33,0.3,0.731674,0.431674,65995.92,65000.0,6.0,9.9,1,0.7,23.1,flat,/Users/seanmealey/Documents/gtc/gtc-2/data/deribit/params_history/bates_params_20260224_235959.json
GEMI-BTC2602252200-HI64500,BTC2602252200,2026-02-25 01:05:00,2026-02-25 22:00:00,buy,23,0.42,0.820826,0.400826,65995.92,64500.0,300.0,9.66,1,0.58,13.34,flat,/Users/seanmealey/Documents/gtc/gtc-2/data/deribit/params_history/bates_params_20260224_235959.json
GEMI-BTC2602252300-HI68750,BTC2602252300,2026-02-25 22:05:00,2026-02-25 23:00:00,sell,31,0.68,0.621591,0.058409,68870.8,68750.0,121.0,9.92,0,0.68,21.08,flat,/Users/seanmealey/Documents/gtc/gtc-2/data/deribit/params_history/bates_params_20260224_235959.json
GEMI-BTC2602252300-HI69250,BTC2602252300,2026-02-25 22:05:00,2026-02-25 23:00:00,sell,14,0.31,0.157678,0.152322,68870.8,69250.0,515.0,9.66,0,0.31,4.34,flat,/Users/seanmealey/Documents/gtc/gtc-2/data/deribit/params_history/bates_params_20260224_235959.json
GEMI-BTC2602252300-HI69000,BTC2602252300,2026-02-25 22:10:00,2026-02-25 23:00:00,sell,22,0.55,0.376409,0.173591,68870.8,69000.0,1164.0,9.9,0,0.55,12.1,flat,/Users/seanmealey/Documents/gtc/gtc-2/data/deribit/params_history/bates_params_20260224_235959.json
GEMI-BTC2602252300-HI68500,BTC2602252300,2026-02-25 22:45:00,2026-02-25 23:00:00,sell,20,0.51,0.474123,0.035877,68469.35,68500.0,11.0,9.8,0,0.51,10.2,flat,/Users/seanmealey/Documents/gtc/gtc-2/data/deribit/params_history/bates_params_20260224_235959.json
GEMI-BTC2602260000-HI68250,BTC2602260000,2026-02-25 23:10:00,2026-02-26 00:00:00,sell,100,0.9,0.58244,0.31756,68335.19,68250.0,641.0,10.0,0,0.9,90.0,flat,/Users/seanmealey/Documents/gtc/gtc-2/data/deribit/params_history/bates_params_20260224_235959.json
GEMI-BTC2602260000-HI68500,BTC2602260000,2026-02-25 23:10:00,2026-02-26 00:00:00,sell,24,0.59,0.342365,0.247635,68335.19,68500.0,681.0,9.84,0,0.59,14.16,flat,/Users/seanmealey/Documents/gtc/gtc-2/data/deribit/params_history/bates_params_20260224_235959.json
