instrument,event_ticker,settlement_index,status,side,outcome_field,quantity,entry_price,entry_model_price,edge_at_entry,spot_at_entry,bid_at_entry,ask_at_entry,bid_size_at_entry,ask_size_at_entry,entry_time,expiry_time,settlement_time,settlement_outcome,entry_notional_usd,max_loss_usd,gross_pnl_per_contract,gross_total_pnl,fees_per_contract,fees_total,net_total_pnl,order_id,params_path
GEMI-BTC2603151500-HI71250,BTC2603151500,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,294,0.83,0.6499766033071172,0.1800233966928828,71458.27,0.83,0.92,28.0,28.0,2026-03-15T14:24:55Z,2026-03-15T15:00:00Z,2026-03-15T15:01:28Z,1,244.02,49.98,-0.17,-49.98,0.02,5.88,-55.86,paper-GEMI-BTC2603151500-HI71250-1773584695,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603151500-HI71750,BTC2603151500,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,384,0.13,0.29362672701814174,0.16362672701814174,71458.27,0.03,0.13,28.0,28.0,2026-03-15T14:24:55Z,2026-03-15T15:00:00Z,2026-03-15T15:01:45Z,0,49.92,49.92,-0.13,-49.92,0.02,7.68,-57.6,paper-GEMI-BTC2603151500-HI71750-1773584695,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603151500-HI71500,BTC2603151500,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,119,0.42,0.46713500875440783,0.04713500875440785,71454.8,0.35,0.42,571.0,28.0,2026-03-15T14:25:01Z,2026-03-15T15:00:00Z,2026-03-15T15:01:22Z,1,49.98,49.98,0.58,69.02,0.02,2.38,66.64,paper-GEMI-BTC2603151500-HI71500-1773584701,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603151600-HI71750,BTC2603151600,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,172,0.29,0.37170851436117425,0.08170851436117427,71609.9,0.21,0.29,50.0,50.0,2026-03-15T15:00:59Z,2026-03-15T16:00:00Z,2026-03-15T16:01:43Z,0,49.88,49.88,-0.29,-49.88,0.02,3.44,-53.32,paper-GEMI-BTC2603151600-HI71750-1773586859,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603151600-HI71500,BTC2603151600,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,142,0.65,0.6042552437796205,0.045744756220379545,71609.9,0.65,0.72,50.0,50.0,2026-03-15T15:01:11Z,2026-03-15T16:00:00Z,2026-03-15T16:01:31Z,0,92.3,49.7,0.65,92.3,0.02,2.84,89.46,paper-GEMI-BTC2603151600-HI71500-1773586871,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603151600-HI71250,BTC2603151600,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,416,0.88,0.7302606391839378,0.1497393608160622,71610.36,0.88,0.99,22.0,19999.0,2026-03-15T15:02:52Z,2026-03-15T16:00:00Z,2026-03-15T16:01:31Z,1,366.08,49.92,-0.12,-49.92,0.02,8.32,-58.24,paper-GEMI-BTC2603151600-HI71250-1773586972,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603151600-HI72000,BTC2603151600,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,357,0.14,0.2540844991129459,0.11408449911294588,71610.36,0.01,0.14,20000.0,25.0,2026-03-15T15:02:52Z,2026-03-15T16:00:00Z,2026-03-15T16:01:19Z,0,49.98,49.98,-0.14,-49.98,0.02,7.14,-57.12,paper-GEMI-BTC2603151600-HI72000-1773586972,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603151700-HI71250,BTC2603151700,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,277,0.82,0.6873855687730183,0.1326144312269817,71509.19,0.82,0.99,19.0,19.0,2026-03-15T16:02:01Z,2026-03-15T17:00:00Z,2026-03-15T17:01:13Z,1,227.14,49.86,-0.18,-49.86,0.02,5.54,-55.4,paper-GEMI-BTC2603151700-HI71250-1773590521,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603151700-HI71750,BTC2603151700,GRR-KAIKO_BTCUSD_1S,settled,buy,yes,277,0.18,0.32651404419132585,0.14651404419132585,71509.19,0.01,0.18,19.0,19.0,2026-03-15T16:02:01Z,2026-03-15T17:00:00Z,2026-03-15T17:01:31Z,0,49.86,49.86,-0.18,-49.86,0.02,5.54,-55.4,paper-GEMI-BTC2603151700-HI71750-1773590521,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
GEMI-BTC2603151700-HI71500,BTC2603151700,GRR-KAIKO_BTCUSD_1S,settled,sell,yes,111,0.55,0.5153416707475391,0.03465832925246093,71518.0,0.55,0.59,58.0,58.0,2026-03-15T16:04:08Z,2026-03-15T17:00:00Z,2026-03-15T17:01:31Z,0,61.05,49.95,0.55,61.05,0.02,2.22,58.83,paper-GEMI-BTC2603151700-HI71500-1773590648,/home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
