nohup: ignoring input
Traceback (most recent call last):
  File "/home/ubuntu/gtc-trading/src/strategy/paper_runner.py", line 26, in <module>
    import bates_pricer as bp
ModuleNotFoundError: No module named 'bates_pricer'
nohup: ignoring input
Loaded params from /home/ubuntu/gtc-trading/data/deribit/bates_params_implied.json
[2026-03-17 17:05:19 UTC] active_events=2 open_positions=0 capital_remaining=$3000.00
[2026-03-17 17:05:25 UTC] active_events=2 open_positions=0 capital_remaining=$3000.00
[2026-03-17 17:05:31 UTC] active_events=2 open_positions=0 capital_remaining=$3000.00
[2026-03-17 17:05:37 UTC] active_events=2 open_positions=0 capital_remaining=$3000.00
[2026-03-17 17:05:44 UTC] active_events=2 open_positions=0 capital_remaining=$3000.00
  PAPER FILL BUY GEMI-BTC2603172100-HI74500 qty=147 entry=0.340 model=0.387 edge=0.047
[2026-03-17 17:05:50 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:05:57 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:06:03 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:06:09 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:06:16 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:06:22 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:06:28 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:06:34 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:06:41 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:06:47 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:06:53 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:07:00 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:07:08 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:07:14 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:07:20 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:07:27 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:07:33 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:07:39 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:07:46 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:07:52 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:07:59 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:08:05 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:08:11 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:08:17 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:08:23 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:08:30 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:08:36 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:08:42 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:08:48 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:08:54 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:09:00 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:09:07 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:09:13 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:09:20 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:09:25 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:09:31 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:09:37 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:09:43 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:09:49 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:09:55 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:10:01 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:10:08 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:10:15 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:10:21 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:10:27 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:10:34 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:10:41 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:10:48 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:10:55 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:11:01 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:11:08 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:11:16 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:11:23 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:11:29 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:11:35 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:11:41 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:11:48 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:11:53 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:11:59 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:12:06 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:12:12 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:12:18 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:12:24 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:12:30 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:12:36 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:12:42 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:12:48 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:12:54 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:13:00 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:13:07 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:13:13 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:13:19 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:13:25 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:13:32 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:13:38 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:13:44 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:13:50 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:13:56 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:14:02 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:14:09 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:14:16 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:14:22 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:14:28 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:14:34 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:14:41 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:14:47 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:14:53 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:14:59 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:15:08 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:15:14 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:15:21 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:15:28 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:15:34 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:15:40 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:15:46 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:15:52 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:15:59 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:16:05 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:16:11 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:16:18 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:16:24 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:16:31 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:16:37 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:16:44 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:16:50 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:16:57 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:17:03 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:17:09 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:17:15 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:17:21 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:17:27 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:17:34 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:17:40 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:17:46 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:17:52 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:17:59 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:18:04 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:18:11 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:18:16 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:18:22 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:18:28 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:18:34 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:18:40 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:18:46 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:18:52 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:18:58 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:19:04 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:19:10 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:19:16 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:19:22 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:19:28 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:19:34 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:19:41 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:19:47 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:19:53 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:19:59 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:20:05 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:20:12 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:20:18 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:20:24 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:20:31 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:20:38 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:20:44 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:20:50 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:20:55 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:21:02 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:21:08 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:21:14 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:21:22 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:21:28 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:21:34 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:21:40 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:21:46 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:21:52 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:21:58 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:22:04 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:22:10 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:22:16 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:22:24 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:22:30 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:22:37 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:22:43 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:22:49 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:22:55 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:23:02 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:23:09 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:23:16 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:23:23 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:23:29 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:23:35 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:23:43 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:23:49 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:23:55 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:24:01 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:24:08 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:24:14 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:24:21 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:24:27 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:24:34 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:24:40 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:24:46 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
[2026-03-17 17:24:53 UTC] active_events=2 open_positions=1 capital_remaining=$2950.02
